"governorate","delegation","School","code_auto","type","lat","long"
"Tunis","TUNIS EL MADINA","E.P.BAB JEDID","100101","urbain","36.79216","10.173194"
"Tunis","TUNIS EL MADINA","E.P.RUE EL MARR","100104","urbain","36.473968","10.1075"
"Tunis","TUNIS EL MADINA","E.P.ABD AZIZ LASREM","100107","urbain","36.796852","10.174021"
"Tunis","TUNIS EL MADINA","E.P.7 RUE DOCTEUR CASSAR","100110","urbain","36.80274","10.1699"
"Tunis","TUNIS EL MADINA","E.P.AP.SADIKI RUE SINAN PACHA","100115","urbain","36.798828","10.166001"
"Tunis","TUNIS EL MADINA","E.P.PLACE LEADER","100116","urbain","36.79269","10.164906"
"Tunis","TUNIS BAB BHAR","E.P.RUE CHARLES DE GAULLE","100301","urbain","36.794697","10.178131"
"Tunis","TUNIS BAB BHAR","E.P.17 RUE DE RUSSIE","100304","urbain","36.794551","10.17733961"
"Tunis","TUNIS BAB BHAR","E.P.16 RUE EL IDRISSI","100307","urbain","36.482663","10.103779"
"Tunis","TUNIS BAB BHAR","E.P.12.RUE ALI JELILI","100309","urbain","36.807989","10.179"
"Tunis","TUNIS BAB BHAR","E.P.18 RUE DE L'INDE","100312","urbain","36.811464","10.18236"
"Tunis","TUNIS BAB BHAR","E.P.29 RUE DE MARSEILLE","100314","urbain","36.803462","10.181684"
"Tunis","TUNIS BAB BHAR","E.P.80 RUE ABD RAZAK CHRAIBI","100315","urbain","36.79533573","10.18627077"
"Tunis","TUNIS BAB BHAR","E.P.16 RUE DE RUSSIE","100318","urbain","36.79524883","10.17729156"
"Tunis","EL KHADRA","E.P.CITE OLYM.MONGI SLIM","100402","urbain","36.838059","10.196148"
"Tunis","EL KHADRA","E.P.2/3/34 CITE KHADRA 6","100403","urbain","36.828679","10.196489"
"Tunis","EL KHADRA","E.P.MAHMOUD BEN CHABAAN14-1","100404","urbain","36.833448","10.194873"
"Tunis","EL KHADRA","E.P.RUE CLAUDE BERNARD","100406","urbain","36.823159","10.181818"
"Tunis","EL KHADRA","E.P. BERGES DU LAC","100407","urbain","36.836388","10.246522"
"Tunis","EL KHADRA","E.P.el LAC 2","100408","urbain","36.832508987356","10.232164297194"
"Tunis","BAB SOUIKA","E.P.55 RUE BAB SOUIKA","100501","urbain","36.80547818","10.17032454"
"Tunis","BAB SOUIKA","E.P.SIDI ALOUI/EL HALFAOUINE","100502","urbain","36.80778845","10.16497578"
"Tunis","BAB SOUIKA","E.P.RUE DES ARCS","100504","urbain","36.806136","10.163182"
"Tunis","BAB SOUIKA","E.P.3 HASSEN BELKHODJA","100509","urbain","36.81141002","10.17304701"
