code_sec,population
115151,2368
115152,2620
115153,4191
115154,3034
115155,5023
115156,4967
115251,2386
115252,2417
115253,983
115254,1600
115255,654
115256,2528
115257,1716
115258,1238
115259,802
115260,454
115261,1559
115262,1039
115351,3317
115352,4832
115353,4668
115354,3426
115355,2447
115356,1762
115357,5860
115358,4010
115451,2489
115452,3067
115453,2263
115454,2354
115455,2906
115456,2662
115457,2056
115458,1879
115459,1693
115460,2123
115461,1650
115551,3637
115552,3484
115553,9876
115554,9187
115555,7467
115556,4027
115651,7158
115652,3759
115653,6910
115654,3574
115655,10902
115656,6061
115657,7531
115658,6320
115659,5778
115751,4405
115752,3705
115753,3379
115754,3943
115755,4247
115851,4531
115852,4710
115853,11423
115854,14410
115855,5664
115951,5775
115952,1657
115953,235
115954,2140
115955,6105
115956,9227
115957,2834
115958,2372
116051,6021
116052,4545
116053,3301
116054,2451
116055,4886
116056,2469
116057,7870
116058,6014
116059,5137
116060,5824
116061,4503
116062,6147
116063,7052
116064,2579
116151,8067
116152,2454
116153,5954
116154,4707
116155,2560
116156,4645
116251,5273
116252,4478
116253,3741
116254,6424
116255,6460
116256,9108
116351,10143
116352,9051
116353,10423
116354,18441
116355,20792
116356,5103
116357,7934
116358,13992
116359,22350
116451,24197
116452,9981
116453,23080
116454,9277
116455,10931
116456,9794
116457,10950
116458,12161
116459,19517
116551,5202
116552,4390
116553,3377
116554,2897
116555,7274
116556,7003
116651,7048
116652,3919
116653,7392
116654,12042
116655,10831
116656,10301
116657,15280
116658,17043
116751,4855
116752,3991
116753,3119
116754,4930
116755,2169
116756,5980
116851,3741
116852,2122
116853,5095
116854,8206
116855,342
116856,1605
116857,3072
116951,3604
116952,4447
116953,3254
116954,32756
116955,4321
117051,6555
117052,17867
117053,20652
117054,20038
117055,10446
117056,5770
117057,6974
117151,6614
117152,15015
117153,7611
117154,6303
117155,13277
117156,5876
117157,11486
117158,4285
117159,7905
117160,34761
125151,5288
125152,20297
125153,10491
125154,7097
125155,5425
125156,12005
125157,8810
125158,21269
125159,19011
125251,26744
125252,28155
125253,13782
125254,16454
125255,15406
125256,34219
125257,25102
125351,18826
125352,13051
125353,31126
125354,15958
125355,39847
125356,9261
125357,13402
125451,8456
125452,13039
125453,3742
125454,3259
125455,1947
125456,2077
125551,7651
125552,3801
125553,5826
125554,8509
125555,3759
125651,11808
125652,5211
125653,12028
125654,12524
125655,10653
125656,4938
125657,9589
125658,6945
125659,5437
125751,20342
125752,34415
125753,19182
125754,20684
125755,21704
135151,5718
135152,2067
135153,4720
135154,8597
135155,4410
135156,3658
135251,3421
135252,4098
135253,13161
135254,20519
135255,19202
135351,11490
135352,21619
135353,17826
135354,45299
135355,7182
135356,18296
135451,4452
135452,3918
135453,7087
135454,4280
135455,9272
135456,12729
135551,9335
135552,15734
