code_sec,sector
115151,Sidi bou said
115152,Amilcar
115153,Carthage byrsa
115154,Carthage plage
115155,Le jasmin
115156,Cite mohamed ali
115251,La medina
115252,El hafsia
115253,Bab benat
115254,Souk el nhes
115255,El assouak
115256,Bab mnara
115257,Tourbet el bey
115258,El zraria
115259,Sidi ali azouz
115260,El taoufik
115261,El sabaghine
115262,Sidi boumendil
115351,Bab el bhar
115352,Les jardins
115353,Lac de tunis
115354,Mongi slim
115355,Habib thameur
115356,Taieb el m'hiri
115357,Hedi chaker
115358,Sidi el bahri
115451,Tronja
115452,Bab el khadra
115453,Bab saadoun
115454,Borj zouara
115455,Bab el assel
115456,El halfaouine
115457,Bab souika
115458,Bab sidi abdessalem
115459,Zaouiet el bekria
115460,Hammam el rmimi
115461,Sidi djebali
115551,El omrane
115552,Djebel el ahmar
115553,Cite des oliviers
115554,Ras tabia
115555,Bir atig
115556,Oued el sebai
115651,Cite ibn khaldoun i
115652,El romana
115653,Cite ibn khaldoun ii
115654,Cite ibn khaldoun vi
115655,Cite el intilaka
115656,El omrane superieur
115657,El nassim
115658,Ahmed tlili
115659,Es-sadique
115751,Ettahrir (1)
115752,Ettahrir (2)
115753,Ettahrir (3)
115754,Ettahrirsuerieur
115755,El hadika
115851,1er juin
115852,El menzah
115853,El fath
115854,El manar
115855,El manar (1)
115951,Cite el khadra
115952,Cite jardin
115953,Ech-charguia
115954,Khereiddine pacha
115955,Ali belhouane
115956,Farhat hached
115957,El bouhaira
115958,Hay es salem
116051,Le bardo
116052,Le bardo nord
116053,Le bardo sud
116054,El hadika
116055,Bou-choucha
116056,Bonne residence
116057,Khaznadar
116058,El fath
116059,Ksar-said
116060,Ksar-said ii
116061,El bassatine
116062,Es-saada
116063,Ksar-el bortal
116064,Ibn sina
116151,Cite helel
116152,Ali belhouane - ( essijoumi )
116153,En-najah
116154,Cite des martyrs
116155,Bir anniba
116156,Mellassine
116251,Ezzouhour
116252,Ezzouhour iv
116253,Es-saada
116254,Es-soumrane
116255,Cite tayarane
116256,Bach-hamba
116351,El-hrairia
116352,Ezzouhour v
116353,El akba
116354,El akba superieur
116355,Ghedir el golla
116356,El antit
116357,El foula
116358,Tarak ibn ziad
116359,Ezzahrouni
116451,Borj-chakir
116452,Sidi hassine
116453,El jaiara
116454,Attar
116455,20 mars
116456,Byrine
116457,Meghiret inzel
116458,25 juillet
116459,14 janvier
116551,El ouardia
116552,Bou-gatfa
116553,Tahar sfar
116554,Cite el izdihar
116555,Cite mohamed ali
116556,Sidi belhassen
116651,El kabaria (1)
116652,El kabaria (2)
116653,El kabaria (3)
116654,El kabaria (4)
116655,Cite ennour
116656,Ibn sina 1
116657,Ibn sina 2
116658,El mourouj (2)
116751,Sidi el bechir
116752,Sidi mansour
116753,Maakel ezzaim
116754,Farhat hached - ( sidi el bechir )
116755,Abulkacem ech-chebbi
116756,Saida manoubia
116851,Sidi fathallah
116852,Ali bach-hamba
116853,El garjouma
116854,Cite el fath
116855,Es-sebkha
116856,El afrane
116857,Djebel djeloud
116951,La goulette
116952,La goulette casino
116953,Kheireddine
116954,Taieb mhiri
116955,Cite essalama
117051,Le kram est
117052,Erriadh
117053,El bouhaira
117054,Sidi fredj
117055,Le kram ouest
117056,Sidi amor
117057,Bir el helou
117151,La marsa plage
117152,La marsa medina
117153,La marsa hadayek
117154,La marsa erriadh
117155,Er-rmila
117156,La marsa el montazeh
117157,Gammarth
117158,Gammarth_superieur
117159,Sidi daoued
117160,El bahr el azrak
125151,Nouvel ariana
125152,Ariana superieur
125153,Ariana ville
125154,El menzah v
125155,El menzah vi
125156,Etaamir
125157,Yasmina
125158,Ennasr 1
125159,Ennasr 2
125251,Soukra
125252,Dar fadhal
125253,El bousten
125254,Chotrana
125255,Borj el ouzir
125256,Ennasim
125257,Etaamir kamesse
125351,Jaafer
125352,Enkhilet
125353,El medina el fadhila
125354,El ghazala
125355,Raoued
125356,Bourj ettouil
125357,Sidi amor bou khtioua
125451,Kalaat el andalous est
125452,Kalaat el andalous ouest
125453,Pont de bizerte
125454,Bou hanach
125455,El hessiane
125456,Ennahli
125551,Sidi thabet
125552,Bejaoua
125553,Mongi slim
125554,Cebalet ben ammar
125555,Charfeche
125651,Ettadhamen
125652,Ibn khaldoun
125653,9 avril
125654,18 janvier
125655,2 mars
125656,El mongi slim
125657,Ettadhamen 4
125658,Abulkassem ech-chebbi
125659,Khaireddine pacha
125751,Mnihla
125752,Errafaha
125753,En-nasr
125754,El basstine
125755,15 octobre
135151,Ben arous est
135152,Cite ibn arafa
135153,El mehiri
135154,Ben arous ouest
135155,Sidi ben arous
135156,Cite el iskane
135251,La nouvelle medina(1)
135252,La nouvelle medina(2)
135253,Sidi mosbah
135254,El yasminet
135255,Errabta
135351,El mourouj (1)
135352,El mourouj (3)
135353,El mourouj (4)
135354,El mourouj (5)
135355,Bir kassaa
135356,Farhat hached
135451,Hammam lif ville
135452,Hammem lif ville 2
135453,Hammem lif bou kornine
135454,Farhat hached
135455,Hammam lif el malaab
135456,Cite mohamed ali
135551,Bir el bey
135552,Borj cedria
135553,Hammem chatt
135651,Bou mhel
135652,El bassatine
135653,Chela
135654,El bassatine el gharbya
135751,Ez-zahra ville
135752,Cite el habib
135753,18 janvier
135754,Borj el louzir
135851,Rades ville
135852,Rades mellaha
135853,Taieb mehiri
135854,Rades remada
135855,Mongi slim
135856,Rades foret
135857,Rades meliane
135858,Noubou
135951,Megrine superieure
135952,Megrine riadh
135953,Jawhara
135954,Menzel mabrouk
135955,Megrine chaker
135956,Megrine chaker(2)
135957,Sidi rezig
135958,Sidi rezig (2)
136051,Mohamedia
136052,Mongi selim
136053,Cite es-saada
136054,Cite el nassim
136055,Sidi frej
136151,Fouchana
136152,Cite el mostakbel
136153,El hidhab
136154,El mghira
136155,Naassen
136156,Chebeda
136157,Douar elhouch
136251,Mornag
136252,Mornag ouest
136253,Khelidia
136254,Ez-zaouia
136255,Djebel ressas
136256,Sidi salem el garsi
136257,Kabouti
136258,Ain rekad
136259,El gounna
136260,Sidi saad
136261,Essalem
136262,Errisala
136263,Oudna
136264,El kessibi
145151,Manouba
145152,Manouba centre
145153,Sidi amor
145154,Den- den
145155,Ksar - said
145156,Den - den sud
145251,Douar hicher
145252,Khaled ibn el oualid
145253,Cite er- riadh
145254,Cite ennassim
145255,Cite ech - chabeb
145351,Oued ellil
145352,Es saida
145353,Er riadh
145354,Cite el ouerd
145355,Ennajet
145356,Sanhaja
145357,El kobbaa
145451,Mornaguia
145452,20 mars
145453,Bouragba
145454,Fejja
145455,Sidi ali el hattab
145456,Hmaiem
145457,El bassatine
145458,Mornaguia nord
145551,Borj el amri
145552,Menzel habib
145553,Borj ennour
145554,El moussadine
145651,Djedaida
