FID,ref_tn_cod,id_thiesse,type,area_m2,road_density_mean,school_kde_mean
0,165458,1986,1,1069775.6637107998,0.027934847744526686,0.06840347833241578
1,525652,2642,1,108663.78753764377,0.041826918189014704,0.04916492801208001
2,116854,3665,1,349.7518185089459,0.03786489794797757,0.038795600546633495
3,145355,3822,1,1116672.7676992363,0.05739213407716968,0.03846284543926066
4,155153,4318,1,74986.63105398593,0.0,0.0
5,215857,2037,1,703299.5693286614,0.8608395457267761,0.8414723873138428
6,156454,4181,0,2454378.5056950534,0.06165575061834628,0.022942702120710767
7,145651,2122,0,412783.1553964463,0.7155318409204483,0.15570505783345895
8,336051,3293,0,113799.76224928869,0.10555737295321056,0.045038522354194095
9,246052,1864,0,759742.612905073,0.0159855263231442,0.0902352921207223
10,525353,2389,0,3318646.7257264634,0.0,0.0
11,165356,3605,0,7007834.142110017,0.0404596066861241,0.026500851805839273
12,615753,71,0,1185829.1729491265,0.0,0.0
13,335657,3091,1,5119740.122399675,0.0,0.0
14,525659,2652,1,3908888.138791985,0.24616507348176594,0.031290186981897096
15,145653,2107,0,50647.33351907105,0.055400177497755394,0.0273819968781688
16,525956,2468,0,6237799.512043668,0.0,0.0
17,165357,2062,0,34623595.398006484,0.041826918189014704,0.04916492801208001
18,625158,18,1,75798073.77497278,0.0,0.0
19,175351,2188,0,165242.7179136725,0.0,0.0
20,125451,3947,0,9625541.169860208,0.01108808512771691,0.03444549161052782
21,615256,388,0,1815291.3585651258,0.013810181169722997,0.027999343972699525
22,346457,2736,0,2889885.1777168815,0.0,0.0
23,165251,3507,1,132132.30712907214,0.03786489794797757,0.038795600546633495
24,525551,2518,1,298936.9565953107,0.0,0.0
25,116855,3596,1,724.1995610121016,0.04650573235858283,0.016495646378514486
26,435657,430,0,2138191.2386514004,0.1337385954601424,0.060462306023805173
27,635651,31,0,1677262349.4752727,0.015094951154378776,0.02104903631940405
28,515656,615,0,1041.347821954399,0.45443488584190117,0.11967948927986817
29,335160,3369,0,3880139.7664639316,0.015385194093856996,0.01568581517424109
30,215757,2026,0,4369101.997454047,0.016617565270002806,0.007450819266155724
31,315451,4023,1,196662.34075805225,0.8286690592765809,0.3578534099790785
32,435551,703,0,20837214.324849565,0.0028241627492576627,0.0043039081391221074
33,615556,86,0,89532.22049134361,0.013919358251581403,0.0431505757466398
34,125653,3838,1,51844.35463039306,0.0,0.0
35,136153,3560,1,60255.425244537415,0.04437415897846222,0.149792143702507
36,415651,979,1,12578019.904920718,0.025691125063678703,0.024934259571641422
37,315453,4269,1,320507.3247474138,0.013279162570271535,0.01700862167503685
38,155153,4337,1,301586.30242194165,0.05739213407716968,0.03846284543926066
39,325855,3389,1,56162.455456879245,0.33388137799465584,0.09606070733649698
40,625451,3,1,4747495.280859164,0.5835028611696683,0.40000224342712987
41,176153,3944,1,1264378.7128341557,0.026586338416368604,0.04358249493639603
42,156252,4387,0,10442925.451093338,0.010243447625065504,0.04644530585469448
43,125751,3832,1,21346.934305880994,0.02656791096310993,0.016005727625957106
44,615953,365,0,33010893.38393939,0.0,0.0
45,316052,4097,0,6644311.310008813,0.0007904313452767537,0.004242029912734201
46,435752,717,0,1229512.1611917524,0.019716855583062586,0.020126909723906416
47,516060,2569,0,5475196.080694317,0.0,0.0
48,245760,1510,0,8247259.335788332,0.044866951792246076,0.0
49,615554,67,0,5571935.45179779,0.16606722081249412,0.04033487804911353
50,145454,2089,0,8004240.1556043625,0.19679253300031027,0.048955378433068596
51,345257,2917,1,33158.93321695129,0.23507526013010366,0.07399355584152655
52,325755,4267,1,278363.5424404077,0.30692926049232483,0.37862569093704224
53,615751,80,1,68232.2725596475,0.8608395457267761,0.8414723873138428
54,335252,3335,1,624272.7886563023,0.31968857966936554,0.08266011155568637
55,176255,2230,0,9160868.557085853,0.027617558415194997,0.008198139098851798
56,116657,3584,1,362673.16825007123,0.03242074651806371,0.017322682198972816
57,625156,44,1,1142564.6281576583,0.1502855431678493,0.036369413984704106
58,175853,2222,0,8935440.450479133,0.16415268870500418,0.12102938443422318
59,316052,4085,0,2628321.0727409413,0.8388081789016724,0.439785934984684
60,245455,1890,0,30802036.928346314,0.01974656925137554,0.020365964089121138
